FOT_RT,,FOT_35C,,FOT_45C,,FOT_55C,,Convert to Abs("FOT_RT"):FOT_RT,,Convert to Abs("FOT_35C"):FOT_35C,,Convert to Abs("FOT_45C"):FOT_45C,,Convert to Abs("FOT_55C"):FOT_55C,,
Wavelength (nm),%R,Wavelength (nm),%R,Wavelength (nm),%R,Wavelength (nm),%R,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,
2442.637939,0.3892945647,2442.637939,0.4402351677,2442.637939,0.4937469959,2442.637939,0.5009758472,2442.637939,2.409721613,2442.637939,2.356315374,2442.637939,2.306495428,2442.637939,2.300183296,
2441.970947,0.3865421414,2441.970947,0.4428278804,2441.970947,0.4865390658,2441.970947,0.5051425695,2441.970947,2.412803173,2441.970947,2.353765011,2441.970947,2.312882185,2441.970947,2.296586037,
2441.303955,0.3849802911,2441.303955,0.4387480319,2441.303955,0.4882781804,2441.303955,0.5010101199,2441.303955,2.41456151,2441.303955,2.357784748,2441.303955,2.311332703,2441.303955,2.300153494,
2440.636963,0.3841163218,2440.636963,0.4354079366,2440.636963,0.491107583,2440.636963,0.5052284598,2440.636963,2.415537357,2440.636963,2.361103773,2440.636963,2.308823347,2440.636963,2.296512127,
2439.969971,0.3890079558,2439.969971,0.4403250217,2439.969971,0.4933994412,2439.969971,0.506659627,2439.969971,2.410041571,2439.969971,2.356226683,2439.969971,2.306801319,2439.969971,2.295283794,
2439.302979,0.3888805509,2439.302979,0.4439546168,2439.302979,0.4919171333,2439.302979,0.5075363517,2439.302979,2.410183907,2439.302979,2.352661371,2439.302979,2.308108091,2439.302979,2.294532776,
2438.635986,0.3887275457,2438.635986,0.445751667,2438.635986,0.4839907885,2438.635986,0.5008140802,2438.635986,2.410354614,2438.635986,2.350907087,2438.635986,2.315162897,2438.635986,2.300323486,
2437.968994,0.3795078099,2437.968994,0.4446350932,2437.968994,0.4914592505,2437.968994,0.5052806139,2437.968994,2.420779228,2437.968994,2.351996183,2437.968994,2.308512449,2437.968994,2.296467304,
2437.302002,0.3899811506,2437.302002,0.4432164133,2437.302002,0.4886478186,2437.302002,0.5069214106,2437.302002,2.408956289,2437.302002,2.353384256,2437.302002,2.311003923,2437.302002,2.295059443,
2436.63501,0.3775468469,2436.63501,0.4420510828,2436.63501,0.4878344834,2436.63501,0.5031793118,2436.63501,2.423029184,2436.63501,2.354527473,2436.63501,2.311727524,2436.63501,2.29827714,
2435.968018,0.3868632317,2435.968018,0.4477790594,2435.968018,0.4884145558,2435.968018,0.5116493702,2435.968018,2.412442446,2435.968018,2.348936319,2435.968018,2.311211348,2435.968018,2.291027546,
2435.301025,0.3892230093,2435.301025,0.444440186,2435.301025,0.4845573902,2435.301025,0.508790493,2435.301025,2.409801483,2435.301025,2.35218668,2435.301025,2.314654827,2435.301025,2.293461084,
2434.634033,0.383790493,2434.634033,0.4477565587,2434.634033,0.4888199866,2434.634033,0.5011259317,2434.634033,2.415905714,2434.634033,2.348958015,2434.634033,2.310851097,2434.634033,2.30005312,
2433.967041,0.3885320425,2433.967041,0.4433267415,2433.967041,0.4865128994,2433.967041,0.4940529466,2433.967041,2.410573244,2433.967041,2.353276014,2433.967041,2.31290555,2433.967041,2.306226492,
2433.300049,0.3872468472,2433.300049,0.4420508742,2433.300049,0.488040328,2433.300049,0.5026516318,2433.300049,2.4120121,2433.300049,2.354527712,2433.300049,2.311544418,2433.300049,2.298732996,
2432.633057,0.3787745237,2432.633057,0.4489786029,2432.633057,0.4892312586,2432.633057,0.5076268315,2432.633057,2.421619177,2432.633057,2.347774267,2432.633057,2.31048584,2432.633057,2.294455528,
2431.966064,0.3869977295,2431.966064,0.437349081,2431.966064,0.4883003533,2431.966064,0.5028855801,2431.966064,2.412291527,2431.966064,2.359171867,2431.966064,2.311312914,2431.966064,2.298530817,
2431.299072,0.382174015,2431.299072,0.4430324435,2431.299072,0.4893121421,2431.299072,0.4989033043,2431.299072,2.417738914,2431.299072,2.353564501,2431.299072,2.310414076,2431.299072,2.301983595,
